game_id,team_name,opp_team_name,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,TOV,PTS
2025-10-16-NWPvSTMU,NWP,STMU,22,62,10,28,13,17,10,32,24,67
2025-10-16-NWPvSTMU,STMU,NWP,22,70,7,25,7,13,11,27,14,58

