game_id,team_name,opp_team_name,team_min,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,TOV,PTS
2025_10_25_OCvBC,OC,BC,40,26,82,11,47,9,12,11,35,20,72
2025_10_25_OCvBC,BC,OC,40,30,76,8,36,14,18,14,36,17,82
