game_id,team_name,opp_team_name,team_min,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,TOV,PTS
2025_10_17_NAITvRDP,NAIT,RDP,40,31,70,7,27,10,14,15,43,24,79
2025_10_17_NAITvRDP,RDP,NAIT,40,17,62,7,23,10,15,4,24,23,51
