game_id,team_name,opp_team_name,team_min,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,TOV,PTS
2025_10_24_AMBvMHC,AMB,MHC,40,27,65,2,13,19,35,15,20,33,75
2025_10_24_AMBvMHC,MHC,AMB,40,34,75,10,37,13,17,15,27,30,91
