game_id,team_name,opp_team_name,team_min,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,TOV,PTS
2025_10_16_NWPvSTMU,NWP,STMU,40,10,49,2,20,0,2,7,16,49,22
2025_10_16_NWPvSTMU,STMU,NWP,40,44,81,6,20,10,16,17,26,22,104



