game_id,team_name,opp_team_name,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,TOV,PTS
2025-10-16-NWPvSTMU,NWP,STMU,10,49,2,20,0,2,7,16,49,22
2025-10-16-NWPvSTMU,STMU,NWP,44,81,6,20,10,16,17,26,22,104

