game_id,team_name,opp_team_name,team_min,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,TOV,PTS
2025_10_17_BCvLAKE,BC,LAKE,40,26,74,6,35,18,18,16,21,25,76
2025_10_17_BCvLAKE,LAKE,BC,40,9,43,1,19,3,3,11,22,47,22
