game_id,team_name,opp_team_name,team_min,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,TOV,PTS
2025_10_25_TKUvNAIT,TKU,NAIT,40,23,66,3,17,16,25,7,19,3,65
2025_10_25_TKUvNAIT,NAIT,TKU,40,25,67,5,19,21,35,6,22,2,76
